message_id,user_id,timestamp,channel,sender,message_text,is_phishing,hour,day_of_week
M0000044,U00001,2026-01-01T14:37:11+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,14,3
M0000032,U00001,2026-01-02T19:21:46+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,19,4
M0000001,U00001,2026-01-03T11:55:03+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,11,5
M0000009,U00001,2026-01-06T08:15:52+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,8,1
M0000055,U00001,2026-01-06T12:47:03+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,12,1
M0000071,U00001,2026-01-06T13:13:01+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,1
M0000040,U00001,2026-01-07T19:42:24+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,19,2
M0000021,U00001,2026-01-07T20:01:57+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,20,2
M0000036,U00001,2026-01-08T09:17:07+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,3
M0000039,U00001,2026-01-09T14:23:32+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,4
M0000035,U00001,2026-01-09T16:03:04+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,16,4
M0000049,U00001,2026-01-16T07:10:38+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,7,4
M0000014,U00001,2026-01-17T15:03:09+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,5
M0000063,U00001,2026-01-18T15:44:44+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,6
M0000016,U00001,2026-01-19T08:55:38+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,8,0
M0000052,U00001,2026-01-19T16:18:55+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,0
M0000011,U00001,2026-01-20T12:11:27+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,1
M0000041,U00001,2026-01-20T13:50:10+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,13,1
M0000042,U00001,2026-01-21T10:43:43+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,10,2
M0000061,U00001,2026-01-25T10:56:49+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,10,6
M0000013,U00001,2026-01-26T15:31:42+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,15,0
M0000006,U00001,2026-01-27T14:51:03+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,14,1
M0000070,U00001,2026-01-28T10:05:00+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,10,2
M0000038,U00001,2026-01-28T16:06:29+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,16,2
M0000058,U00001,2026-01-29T15:52:52+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,15,3
M0000005,U00001,2026-01-29T19:26:11+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,19,3
M0000034,U00001,2026-01-31T09:53:09+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,9,5
M0000033,U00001,2026-02-01T07:36:46+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,7,6
M0000018,U00001,2026-02-01T14:46:55+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,6
M0000043,U00001,2026-02-02T13:05:56+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,13,0
M0000003,U00001,2026-02-02T15:02:32+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,15,0
M0000046,U00001,2026-02-02T19:32:13+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,19,0
M0000069,U00001,2026-02-04T07:01:09+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,7,2
M0000030,U00001,2026-02-04T10:57:06+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,10,2
M0000050,U00001,2026-02-04T16:44:52+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,2
M0000017,U00001,2026-02-06T11:55:21+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,11,4
M0000053,U00001,2026-02-06T13:53:49+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,4
M0000065,U00001,2026-02-06T15:06:58+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,15,4
M0000024,U00001,2026-02-07T14:31:49+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,5
M0000023,U00001,2026-02-10T18:24:07+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,18,1
M0000022,U00001,2026-02-13T07:29:38+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,7,4
M0000004,U00001,2026-02-13T09:25:38+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,4
M0000047,U00001,2026-02-13T14:25:16+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,14,4
M0000027,U00001,2026-02-15T13:11:50+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,13,6
M0000028,U00001,2026-02-15T14:17:20+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,14,6
M0000064,U00001,2026-02-15T17:46:13+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,17,6
M0000045,U00001,2026-02-17T12:54:42+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,12,1
M0000059,U00001,2026-02-21T10:55:49+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,10,5
M0000015,U00001,2026-02-22T13:15:53+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,6
M0000020,U00001,2026-02-23T15:44:59+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,0
M0000026,U00001,2026-02-24T16:43:47+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,16,1
M0000057,U00001,2026-02-24T21:40:08+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,21,1
M0000056,U00001,2026-02-25T08:09:37+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,8,2
M0000051,U00001,2026-02-27T13:20:37+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,13,4
M0000002,U00001,2026-03-02T11:31:01+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,11,0
M0000025,U00001,2026-03-03T12:46:56+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,12,1
M0000007,U00001,2026-03-03T14:52:02+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,14,1
M0000068,U00001,2026-03-05T14:25:46+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,14,3
